Wall time,Step,Value
1671075729.9421592,250,99.19999694824219
1671075730.6145198,251,99.69999694824219
1671075731.257803,252,100.0
1671075731.93317,253,99.80000305175781
1671075732.557504,254,99.80000305175781
1671075733.1919196,255,99.69999694824219
1671075733.8536625,256,99.0
1671075734.4961925,257,98.80000305175781
1671075735.1484523,258,97.80000305175781
1671075735.7938275,259,97.30000305175781
1671075736.4870853,260,98.80000305175781
1671075737.1762488,261,98.19999694824219
1671075737.828508,262,96.9000015258789
1671075738.4972456,263,98.9000015258789
1671075739.119586,264,98.69999694824219
1671075739.7849276,265,98.80000305175781
1671075740.4192343,266,99.30000305175781
1671075741.0395787,267,99.0999984741211
1671075741.6819963,268,98.80000305175781
1671075742.319297,269,98.5999984741211
1671075742.9946012,270,99.30000305175781
1671075743.6368856,271,99.0
1671075744.28241,272,97.9000015258789
1671075744.953617,273,99.5
1671075745.6129706,274,99.69999694824219
1671075746.238298,275,98.19999694824219
1671075746.8573194,276,95.9000015258789
1671075747.5085828,277,99.19999694824219
1671075748.1011448,278,99.30000305175781
1671075748.7324598,279,98.9000015258789
1671075749.3877108,280,98.69999694824219
1671075749.9841206,281,99.30000305175781
1671075750.6842508,282,99.19999694824219
1671075751.3316982,283,99.69999694824219
1671075751.947055,284,99.69999694824219
1671075752.5944338,285,99.80000305175781
1671075753.2427037,286,99.5999984741211
1671075753.8730233,287,99.0999984741211
1671075754.4854908,288,99.5999984741211
1671075755.1617935,289,99.9000015258789
1671075755.797098,290,99.4000015258789
1671075756.4465065,291,98.69999694824219
1671075757.1346698,292,97.5
1671075757.7371538,293,99.5999984741211
1671075758.3435354,294,99.9000015258789
1671075759.0008862,295,99.5999984741211
1671075759.6013875,296,100.0
1671075760.2077692,297,100.0
1671075760.8721104,298,100.0
1671075761.4814837,299,98.5
1671075762.0949895,300,98.0999984741211
1671075762.7741747,301,97.9000015258789
1671075763.3805578,302,98.0
1671075763.9570177,303,98.5
1671075764.6232395,304,98.30000305175781
1671075765.3004317,305,99.0999984741211
1671075765.913926,306,98.30000305175781
1671075766.5831406,307,98.0
1671075767.2165577,308,98.5
1671075767.810971,309,99.0
1671075768.5081134,310,99.4000015258789
1671075769.1394281,311,99.4000015258789
1671075769.7270532,312,99.5999984741211
1671075770.4421015,313,99.5999984741211
1671075771.0674322,314,98.9000015258789
1671075771.676928,315,98.19999694824219
1671075772.328188,316,99.0
1671075772.9616573,317,99.5999984741211
1671075773.6104338,318,99.80000305175781
1671075774.2569354,319,99.30000305175781
1671075774.9351254,320,99.0
1671075775.5815473,321,99.5
1671075776.2198417,322,98.4000015258789
1671075776.8770876,323,98.19999694824219
1671075777.4844668,324,98.9000015258789
1671075778.1298404,325,98.80000305175781
1671075778.7771125,326,99.4000015258789
1671075779.4055426,327,99.0999984741211
1671075780.0488257,328,97.80000305175781
1671075780.6811366,329,98.9000015258789
1671075781.3304093,330,99.0999984741211
1671075782.0036118,331,98.30000305175781
1671075782.6420126,332,97.0
1671075783.2882886,333,96.9000015258789
1671075783.9385512,334,97.80000305175781
1671075784.575052,335,98.4000015258789
1671075785.2124503,336,98.30000305175781
1671075785.8706934,337,98.69999694824219
1671075786.5161004,338,98.9000015258789
1671075787.1294634,339,99.0999984741211
1671075787.7609138,340,98.80000305175781
1671075788.3623092,341,99.0
1671075788.98764,342,99.4000015258789
1671075789.6529648,343,99.30000305175781
1671075790.2802904,344,99.30000305175781
1671075790.9377873,345,99.0
1671075791.5750866,346,99.0
1671075792.2184908,347,99.5999984741211
1671075792.845818,348,99.5
1671075793.5091681,349,98.4000015258789
1671075794.1185427,350,98.5
1671075794.7539465,351,99.19999694824219
1671075795.3852618,352,99.0
1671075796.0326257,353,99.0
1671075796.6838884,354,97.80000305175781
1671075797.3333051,355,98.80000305175781
1671075797.9436758,356,99.30000305175781
1671075798.576118,357,99.0999984741211
1671075799.2553039,358,99.30000305175781
